ID_Cliente,Edad,Gasto_Total,Dias_desde_ultima_compra,Quejas_Servicio,Se_Fue
1,25,150.5,45,0,0
2,34,0.0,120,1,1
3,47,320.0,15,0,0
4,29,85.0,90,0,1
5,52,600.0,5,0,0
6,31,,60,1,0
7,44,210.0,200,2,1
8,22,45.5,10,0,0
9,38,0.0,300,3,1
10,41,500.0,20,0,0
11,27,130.0,75,0,1
12,33,250.0,0,0,0
13,46,0.0,180,1,1
14,29,95.5,40,0,0
15,55,700.0,8,0,0
16,24,60.0,110,1,1
17,39,340.0,25,0,0
18,42,0.0,250,2,1
19,30,200.0,35,0,0
20,48,450.0,12,0,0
21,26,0.0,140,0,1
22,35,180.0,55,1,0
23,50,620.0,7,0,0
24,28,75.5,80,0,1
25,43,0.0,210,2,1
26,32,300.0,18,0,0
27,37,150.0,65,1,0
28,45,0.0,400,3,1
29,23,120.0,30,0,0
30,49,580.0,10,0,0
31,26,90.0,95,0,1
32,36,0.0,160,1,1
33,51,720.0,3,0,0
34,30,170.0,50,0,0
35,44,210.0,130,2,1
36,27,0.0,280,1,1
37,40,400.0,22,0,0
38,33,110.0,70,1,0
39,53,650.0,6,0,0
40,21,40.0,100,0,1
41,38,0.0,220,2,1
42,46,540.0,9,0,0
43,29,160.0,45,0,0
44,35,0.0,150,1,1
45,48,480.0,14,0,0
46,25,70.0,85,0,1
47,41,370.0,28,0,0
48,34,0.0,190,1,1
49,52,680.0,4,0,0
50,28,135.0,60,1,0
51,31,210.0,42,0,0
52,47,0.0,310,3,1
53,24,55.5,115,0,1
54,39,290.0,32,0,0
55,43,460.0,16,0,0
56,26,0.0,260,2,1
57,37,330.0,19,0,0
58,49,0.0,380,2,1
59,22,35.0,25,0,0
60,45,610.0,11,0,0
61,33,140.0,78,1,0
62,30,0.0,170,1,1
63,50,560.0,13,0,0
64,27,105.0,55,0,1
65,42,390.0,26,0,0
66,35,0.0,240,2,1
67,48,510.0,17,0,0
68,29,185.0,38,0,0
69,44,0.0,360,3,1
70,23,48.0,105,0,1
71,38,360.0,29,0,0
72,51,700.0,2,0,0
73,32,125.0,68,1,0
74,46,0.0,290,1,1
75,28,200.0,33,0,0
76,41,0.0,430,4,1
77,36,410.0,21,0,0
78,53,750.0,1,0,0
79,25,95.0,88,0,1
80,40,340.0,31,0,0
81,34,0.0,200,2,1
82,49,600.0,12,0,0
83,27,155.0,52,0,0
84,43,0.0,270,1,1
85,30,220.0,36,0,0
86,45,490.0,15,0,0
87,26,0.0,180,0,1
88,39,280.0,41,1,0
89,50,640.0,8,0,0
90,31,115.0,72,0,1
91,47,0.0,320,2,1
92,24,65.0,98,0,0
93,42,380.0,27,0,0
94,35,0.0,230,1,1
95,52,590.0,9,0,0
96,28,145.0,62,1,0
97,44,0.0,350,3,1
98,33,195.0,44,0,0
99,48,550.0,10,0,0
100,22,42.5,112,0,1
